Title,URL,Channel,Channel URL,Thumbnail,Duration
Галилео. Ультрапастеризованное молоко,,GalileoRU,https://www.youtube.com/@GalileoRU,https://i.ytimg.com/vi/4CaqrV6xQ3Q/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCO0DH3VX9aZpd45-Phe2hyUfQsng,N/A
Туалеты стратегических самолетов. Какие они? Удобства для экипажей стратегов ВВС России и США.,,AviaDisasters,https://www.youtube.com/@aviadisasters,,N/A
Музыка из ничего :|,,Marmok Live,https://www.youtube.com/@MarmokLive,,N/A
"ТРИ правила, которые улучшили мои заметки — Obsidian №2",,Elton Labs.,https://www.youtube.com/@Elton_Labs,,N/A
Раздел 230 - свободный интернет | Михаил Пожарский,,Whalesplaining,https://www.youtube.com/@Whalesplaining,,N/A
"посмотрел все серии ""КАЛАМБУРА"" и вот что узнал...",,Дрон инкорпорейтед,https://www.youtube.com/@Dron_inc,,N/A
Тестирую 13 ЛУЧШИХ нейросетей в реальной задаче разработчика,,Виталий Кулиев,https://www.youtube.com/@kuliev.vitaly,,N/A
Rammstein - Sehnsucht (instrumental cover),,dead_insider_,https://www.youtube.com/@dead_insider_,,N/A
How to roll your first cigar,,Robert Davis,https://www.youtube.com/@RobertDavis-lm1oc,,N/A
#4 ЖЁСТКОЕ NLP Собеседовние Middle+ / Senior Data Scientist 2 часть| RNN self-attention transformers,,Dima Savelko,https://www.youtube.com/@DimaSavelko,,N/A
Сенсация!!! Пилот не виновен. Доказательства 100%. Суперджет в Шереметьево,,hackmyth,https://www.youtube.com/@hackmyth,,N/A
10 лет живу без рук. Я ЗА*БАЛСЯ,,Бионическая Россия,https://www.youtube.com/@BionicRussia,,N/A
Как Холодная война привела к созданию интернета @chtivomag,,ЧТИВО,https://www.youtube.com/@chtivomag,,N/A
О чем говорит советский автоответчик?,,Музей Подземная Москва — Live,https://www.youtube.com/@podzemnayamoskva_live,,N/A
The Hardest Trip - Mandelbrot Fractal Zoom,,Maths Town,https://www.youtube.com/@MathsTown,,N/A
ЗА ЭТИ ДЕНЬГИ МОЖНО КУПИТЬ НОРМАЛЬНЫЙ ИНСТРУМЕНТ. Но я купил это,,SuperCrastan,https://www.youtube.com/@DanyaKraster,,N/A
ЧЗО с МШ. Внезапное одиночество \ Chernobyl Zone with Msh. Sudden solitude,,urbanturizm,https://www.youtube.com/@urbanturizm,,N/A
"ПРОПАВШАЯ ЕДА ИЗ НУЛЕВЫХ | Рыжий Ап, Скелетоны, Батончик Финт, Батончик Шок",,sndk,https://www.youtube.com/@sndk,,N/A
"Почему к затонувшему парому ""Эстония"" запрещено погружаться?",,Mash Paradox,https://www.youtube.com/@MashVideo,,N/A
"Гитара, которую мы ждали | Акустическая гитара Парма М-01",,Сергей Табачников,https://www.youtube.com/@stereodamage,,N/A
Ты бросил нашу философскую жизнь ради баб,,Tony Wierdy,https://www.youtube.com/@tonywierdy1641,,N/A
Сливочные рулетики с корицей.,,Выпечка и кулинария.,https://www.youtube.com/@%D0%92%D1%8B%D0%BF%D0%B5%D1%87%D0%BA%D0%B0%D0%B8%D0%BA%D1%83%D0%BB%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F-%D1%811%D1%89,https://i.ytimg.com/vi/7wEekABhDyI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCqxx--O_e-cmjv_W7faBu5o4DJQw,N/A
"Dark Blues Slide Guitar • ""Black Moon""",,Justin Johnson,https://www.youtube.com/channel/UCzH2vVrSpjwHNM0U3jJM0lQ,https://i.ytimg.com/vi/1pW_j_eJIlo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDZgGwTJ_CMuUG0UzRxf3cqU2XDkQ,N/A
"Шойна: рыбацкое село, умирающее под песком | От автора НЕИЗВЕСТНОЙ РОССИИ",,Настоящее Время,https://www.youtube.com/@CurrentTimeTV,https://i.ytimg.com/vi/Qf20tsdjjJI/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAGKpfP2A0irL8L27O8ukM7S4ZxsQ,N/A
Как строят современные эстакады?,,Lesics русский,https://www.youtube.com/@lesics3883,https://i.ytimg.com/vi/Od3pQ8zfOwY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBJeWWeuYLaQbijbq85fSsQ1pCQcw,N/A
"Проброс портов, брутфорс wordpress и jenkins! Прохожу машину Internal на TryHackMe, уровень тяжелый!",,Mister Exploit,https://www.youtube.com/@Mr0x45xploit,https://i.ytimg.com/vi/IgLGiJ00a1I/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAI9J9QT6RfQNIwQoeZ2SjoaqRz3A,N/A
How To Predict Random Numbers Generated By Computers,,PwnFunction,https://www.youtube.com/@PwnFunction,https://i.ytimg.com/vi/-h_rj2-HP2E/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDlVyIUELx0n0K-V50kTeIHkmz_Rw,N/A
Как изобрели 3D-графику и оптимизацию? (А потом создали целую индустрию),,Луцай,https://www.youtube.com/@lutsayspeech,https://i.ytimg.com/vi/FIGaYocVVRQ/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCBOCxQRpW4itJKx_kW0f0R7N3Igw,N/A
"ЧТО БУДЕТ, ЕСЛИ ПОДЖЕЧЬ 100 000 ПЕТАРД!",,SlivkiShow,https://www.youtube.com/@SlivkiShow,https://i.ytimg.com/vi/wiNwyLW-4lM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDLHMgg7PpVzGRHu--mbSBkltEywQ,N/A
Почему ПРОВАЛИЛИСЬ Смешарики. Начало и почему это ХОРОШЕЕ КИНО?,,Кузинатра,https://www.youtube.com/@cuisinatra,https://i.ytimg.com/vi/GdcivZSHhQ4/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCcqn_NDrlDXlVfCrdhqDDD79_LWg,N/A
Я расследовал город Педофилов...,,Tyler Oliveira,https://www.youtube.com/@TylerOliveira,https://i.ytimg.com/vi/RxvB3eyfQxg/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAYLsyRqzKsJ7LIi0kONUZBdmJy5A,N/A
Russian Federation - Federal Subjects & Geography | Countries of the World,,KLT,https://www.youtube.com/@klt,https://i.ytimg.com/vi/mmHsKdpPTPk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCTDniHBgvcaTst_v5OkV4-jpbwfA,N/A
Сейчас перед Мэрией Москвы накануне 27.07,,sotavision,https://www.youtube.com/@sotavision,https://i.ytimg.com/vi/JNBLYBf2whY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDnpqjTAD6UyTh97egulrnvajsLOw,N/A
